name,reg,marks
Alice, 1, 78.0246928153624
Bob, 2, 43.89499752400101
Charlie, 3, 72.90219802708364
David, 4, 86.30855209546826
Eve, 5, 75.3443764369103
Frank, 6, 56.3163717815305
Grace, 7, 96.51142588489624
Hannah, 8, 46.55401354116538
Isaac, 9, 87.42056971926803
Jack, 10, 43.53339331072109
Kate, 11, 38.22527805795094
Liam, 12, 30.60326323428011
Mona, 13, 76.48196330235604
Noah, 14, 97.71869196188608
Olivia, 15, 76.03681085115882
Paul, 16, 89.20735013750205
Quinn, 17, 52.74046973016765
Rachel, 18, 46.67857410673128
Sam, 19, 92.92713789364831
Tina, 20, 47.57596364975532
Uma, 21, 42.83843832029179
Vin, 22, 65.79936592745237
Will, 23, 48.85581152764205
Xander, 24, 44.20952859866288
Yara, 25, 68.9723599933059
Zane, 26, 69.95445795447587
Amy, 27, 44.82162893218353
Ben, 28, 38.80067033713209
Clara, 29, 50.25610789244621
Dylan, 30, 64.99568095539578
Erica, 31, 72.80788731317097
Freya, 32, 57.05198397627122
Grace, 33, 63.12762376881715
Henry, 34, 69.43286012045222
Isla, 35, 71.16774802184875
John, 36, 52.21388588061123
Kelly, 37, 98.86943574220611
Laura, 38, 80.90806058670817
Maya, 39, 41.57341522824434
Nina, 40, 75.2377203360134
Oscar, 41, 56.30804621605327
Paul, 42, 46.85629026349976
Quincy, 43, 65.56892160559052
Rebecca, 44, 40.61825515970618
Sophia, 45, 45.82270145776001
Travis, 46, 52.06099194836679
Uma, 47, 70.45820000180959
Vince, 48, 86.7278223300282
Will, 49, 96.76882412413983
Xander, 50, 88.69629254546599
Yara, 51, 74.16311935043758
Zara, 52, 60.99903099844988
Andrew, 53, 43.39060180650027
Bella, 54, 60.39634245837173
Chloe, 55, 49.80453881323059
Daniel, 56, 59.80895099453265
Elise, 57, 68.86157272420604
Freya, 58, 95.59854761387875
George, 59, 69.82457122657193
Henry, 60, 78.45356224515052
Ivy, 61, 85.75993667331619
Jack, 62, 47.02051394723416
Kate, 63, 39.26147251058019
Liam, 64, 49.59297386723685
Maya, 65, 66.45008614558913
Noah, 66, 41.09209807936973
Olivia, 67, 97.53518548909936
Peter, 68, 51.88321182073966
Quinn, 69, 92.11606081344084
Rachel, 70, 60.99139402740988
Sam, 71, 43.30717306430063
Travis, 72, 78.03168802018232
Uma, 73, 96.22759296761404
Vera, 74, 73.09499809758037
Will, 75, 75.85844831279042
Xander, 76, 72.36925193383885
Yael, 77, 88.47586499559782
Zoe, 78, 75.80985952982456
Amy, 79, 42.50840943572217
Blake, 80, 42.71987853716458
Chloe, 81, 69.80378889835472
David, 82, 45.69430680250754
Emily, 83, 66.58935317747915
Frank, 84, 59.51428198012956
Gabe, 85, 90.96014789746954
Heather, 86, 85.59430710452014
Isla, 87, 78.84478600148043
James, 88, 90.42453899753964
Kevin, 89, 96.64742716885644
Lia, 90, 60.76950525602592
Maya, 91, 77.15910509073893
Nick, 92, 87.50879176484702
Olivia, 93, 35.57070347228866
Peter, 94, 84.84513684930135
Quincy, 95, 45.35828361091658
Rebecca, 96, 48.38028579728175
Steve, 97, 87.10385094025457
Tina, 98, 68.77540947206617
Uma, 99, 64.9319380069486
Victor, 100, 89.52981289513276
